catalog_id,catalog_name,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,match_name
10104,Apfel Score for Postoperative Nausea and Vomiting,https://www.mdcalc.com/calc/10104/apfel-score-postoperative-nausea-vomiting,Prognosis,"Anesthesiology, Hospitalist Medicine, Internal Medicine, Oral and Maxillofacial Surgery, Surgery (Cardiothoracic), Surgery (General), Surgery (Plastic), Surgery (Vascular)",,apfel score for postoperative nausea and vomiting
23,APGAR Score,https://www.mdcalc.com/calc/23/apgar-score,"Prognosis, Formula","Critical Care, Critical Care (Neonatal), Emergency Medicine, OB-Gyn, Pediatrics",Pregnancy,apgar score
3984,Appendicitis Inflammatory Response (AIR) Score,https://www.mdcalc.com/calc/3984/appendicitis-inflammatory-response-air-score,Diagnosis,"Emergency Medicine, Pediatrics, Surgery (General)",Appendicitis,appendicitis inflammatory response air score
10022,ARISCAT Score for Postoperative Pulmonary Complications,https://www.mdcalc.com/calc/10022/ariscat-score-postoperative-pulmonary-complications,Prognosis,"Anesthesiology, Critical Care, Pulmonology, Surgery (Cardiothoracic), Surgery (General), Surgery (Vascular)","Pneumonia, Respiratory Failure",ariscat score for postoperative pulmonary complications
1741,Arterial Blood Gas (ABG) Analyzer/none,https://www.mdcalc.com/calc/1741/arterial-blood-gas-abg-analyzer,Formula,"Critical Care, Emergency Medicine, Endocrinology, Gastroenterology, Hospitalist Medicine, Internal Medicine, Nephrology, Pulmonology, Surgery (General), Surgery (Trauma), Toxicology","Acid-Base Disturbance, Anxiety, Asthma, Burns, Drug/Alcohol Use, Ingestion/Overdose, Pulmonary Embolism, Renal Failure, Trauma, Chronic Obstructive Pulmonary Disease",arterial blood gas abg analyzer
10024,ASA Physical Status/ASA Classification/none,https://www.mdcalc.com/calc/10024/asa-physical-status-asa-classification,Prognosis,"Anesthesiology, Oral and Maxillofacial Surgery, Surgery (Cardiothoracic), Surgery (General), Surgery (Plastic), Surgery (Trauma), Surgery (Vascular)",Any/All,asa physical status asa classification
306,ASAS Criteria for Axial Spondyloarthritis (SpA),https://www.mdcalc.com/calc/306/asas-criteria-axial-spondyloarthritis-spa,Diagnosis,Rheumatology,Rheumatoid Arthritis,asas criteria for axial spondyloarthritis spa
10032,ASAS Criteria for Peripheral SpondyloArthritis (SpA),https://www.mdcalc.com/calc/10032/asas-criteria-peripheral-spondyloarthritis-spa,Diagnosis,Rheumatology,Rheumatoid Arthritis,asas criteria for peripheral spondyloarthritis spa
10036,ASCOD Algorithm for Ischemic Stroke/none,https://www.mdcalc.com/calc/10036/ascod-algorithm-ischemic-stroke,"Algorithm, Diagnosis","Cardiology, Critical Care (Neurologic), Emergency Medicine, Family Practice, Internal Medicine, Neurology, Neurosurgery, Primary Care, Radiology","Acute Coronary Syndrome, Atrial Fibrillation, Stroke / Transient Ischemic Attack (TIA)",ascod algorithm for ischemic stroke
3398,ASCVD (Atherosclerotic Cardiovascular Disease) 2013 Risk Calculator from AHA/ACC,https://www.mdcalc.com/calc/3398/ascvd-atherosclerotic-cardiovascular-disease-2013-risk-calculator-aha-acc,"Prognosis, Formula","Cardiology, Family Practice, Internal Medicine, Pharmacy, Primary Care","Acute Coronary Syndrome, Diabetes Mellitus, Dyslipidemia, Stroke / Transient Ischemic Attack (TIA)",ascvd atherosclerotic cardiovascular disease 2013 risk calculator from aha acc
